"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.03:1. Recommendation:  change text colour to #040509.","<text x=\"18\" y=\"34\" font-size=\"11\" font-weight=\"bold\" fill=\"#f8f5f0\" text-anchor=\"middle\">4</text>","#oa-svg > text:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.03:1. Recommendation:  change text colour to #040509.","<text x=\"18\" y=\"124\" font-size=\"11\" font-weight=\"bold\" fill=\"#f8f5f0\" text-anchor=\"middle\">0</text>","#oa-svg > text:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.03:1. Recommendation:  change text colour to #040509.","<text x=\"44\" y=\"140\" font-size=\"10\" fill=\"#7a6040\">2022</text>","#oa-svg > text:nth-child(11)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.03:1. Recommendation:  change text colour to #040509.","<text x=\"406\" y=\"140\" font-size=\"10\" fill=\"#7a6040\" text-anchor=\"end\">2026</text>","#oa-svg > text:nth-child(12)"
